Familia,Grupo,ID,Producto,Formato_Venta,Coste (€),Precio de venta (€),Margen Beneficio (€),% Beneficio,Ratio Precio/Costo
VERDURAS,MEZCLAS 400 gr (Formato pequeño tienda),309,CN-ENSALADILLA RUSA B/400GR (LG),UND,2.6,24.4,21.799999999999997,840.0,9.384615384615383
VERDURAS,MEZCLAS 400 gr (Formato pequeño tienda),810,VERDURA PAELLA B/400GR,UND,10.81,28.62,17.810000000000002,160.0,2.6475485661424605
VERDURAS,MONOPRODUCTO - Formato Horeca,8051,CEBOLLA TROC. 10x10 B/1KG,UND,13.2,16.7,3.5,30.0,1.2651515151515151
VERDURAS,MONOPRODUCTO - Formato Horeca,8057,CN-MEZCLA SOFRITO 1KG,UND,11.68,60.72,49.04,420.0,5.198630136986301
VERDURAS,MONOPRODUCTO - Formato Horeca,8019,GUISANTES EXTRA FINOS 1 KG,UND,3.71,21.63,17.919999999999998,480.0,5.830188679245283
VERDURAS,MONOPRODUCTO - Formato Horeca,8020,GARROFON PRECOCIDO 1 KG,UND,0.76,12.78,12.02,1580.0,16.81578947368421
VERDURAS,MONOPRODUCTO - Formato Horeca,8022,HABAS BABY B/1 KG-(NCNAL),UND,14.35,35.7,21.35,150.0,2.487804878048781
VERDURAS,MONOPRODUCTO - Formato Horeca,8024,JUDIA-VERDE PLANA 1 KG,UND,0.98,17.92,16.94,1730.0,18.28571428571429
VERDURAS,MONOPRODUCTO - Formato Horeca,8025,JUDIA VERDE RED-TROCEADA 1 KG,UND,12.65,48.45,35.800000000000004,280.0,3.8300395256916997
VERDURAS,MONOPRODUCTO - Formato Horeca,8026,JUDIA MUY FINA ENTERA  B/1KG,UND,12.02,62.08,50.06,420.0,5.164725457570715
VERDURAS,MONOPRODUCTO - Formato Horeca,8035,CN-VERDURA-SOPAS B/1KG,UND,2.07,22.28,20.21,980.0000000000001,10.763285024154591
VERDURAS,MONOPRODUCTO - Formato Horeca,8179,CN-COLIFLOR 40/60  B/1KG,UND,6.96,20.92,13.96,200.0,3.005747126436782
VERDURAS,MONOPRODUCTO - Formato Horeca,8262,ESPINACA HOJA 1 KG,UND,2.19,5.69,3.5000000000000004,160.0,2.598173515981735
VERDURAS,MONOPRODUCTO - Formato Horeca,6772,CN-BROCOLI B/1KG.,UND,10.2,13.7,3.5,30.0,1.343137254901961
VERDURAS,MONOPRODUCTO - Formato Horeca,3017,ESPARRAGOS-VER-TROC-B/1 KG,KG,2.96,19.38,16.419999999999998,550.0,6.547297297297297
VERDURAS,MONOPRODUCTO - Formato Horeca,3592,AJOS T/TROCEADOS B/1KG,KG,0.74,12.72,11.98,1620.0,17.18918918918919
VERDURAS,MONOPRODUCTO - Formato Horeca,2098,"CALABAZA 10X10 B/2,5 KG",UND,4.12,22.86,18.74,450.0,5.548543689320388
VERDURAS,MONOPRODUCTO - Formato Horeca,2099,CALABACIN TROC. B/2.5 KG,UND,1.1,18.4,17.299999999999997,1570.0,16.727272727272723
VERDURAS,MONOPRODUCTO - Formato Horeca,3857,HABITAS SUPERBABY 1 KG,UND,7.11,42.44,35.33,500.0,5.9690576652601965
VERDURAS,MONOPRODUCTO - Formato Horeca,4880,TOMATE TK-SEC-SOL MIT,KG,6.59,20.18,13.59,210.0,3.0622154779969653
VERDURAS,MONOPRODUCTO - Formato Horeca,52,OR-WAKAME B/125 G,UND,11.52,60.08,48.56,420.0,5.215277777777778
VERDURAS,MONOPRODUCTO - Formato Horeca,537,JUDIA VERDE RED-TROCEADA (IQF),KG,12.19,47.07,34.88,290.0,3.8613617719442166
VERDURAS,MONOPRODUCTO - Formato Horeca,592,OR-WAKAME B/1 KG,UND,0.82,12.96,12.14,1480.0,15.80487804878049
VERDURAS,MONOPRODUCTO - Formato Horeca,6010,"BOLETUS ENTERO 1ª CALIDAD B/2,5 KG",UND,1.88,5.38,3.5,190.0,2.8617021276595747
VERDURAS,MONOPRODUCTO - Formato Horeca,6009,"CEBOLLA-PERLA 14/16 B/2,5 KG.",UND,3.2,20.1,16.900000000000002,530.0,6.28125
VERDURAS,MONOPRODUCTO - Formato Horeca,6024,"JUDIA VERDE-PLANA-B/2,5KG",UND,11.33,29.66,18.33,160.0,2.617828773168579
VERDURAS,MONOPRODUCTO - Formato Horeca,6025,JUDIA VERDE RED-TROCEADA  B/2.5 KG,UND,14.89,73.56,58.67,390.0,4.940228341168569
VERDURAS,MONOPRODUCTO - Formato Horeca,6019,"GUISANTES BASIC B/2,5KG",UND,14.99,18.49,3.4999999999999982,20.0,1.2334889926617745
VERDURAS,MONOPRODUCTO - Formato Horeca,6051,CEBOLLA TROC.-10 x 10  2.5 KG,UND,5.73,36.92,31.19,540.0,6.443280977312391
VERDURAS,MONOPRODUCTO - Formato Horeca,6062,"ZANAHORIA DADOS B/2,5KG",UND,8.4,23.8,15.4,180.0,2.8333333333333335
VERDURAS,MONOPRODUCTO - Formato Horeca,6110,BOLETUS (EDULI)TROCEADO 1º CALIDAD B/1KG,UND,13.58,17.08,3.4999999999999982,30.0,1.2577319587628866
VERDURAS,MONOPRODUCTO - Formato Horeca,6262,"ESPINACA TROCEADA B/2,5 KG",UND,9.84,40.02,30.180000000000003,310.0,4.067073170731708
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),6050,PREP-TORTILLA (PTT/CBLL) PREFRITA B/1 KG,UND,8.93,37.29,28.36,320.0,4.175811870100784
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),6054,PREP-TORTILLA (PTT/VERD.ASADA) B/1KG,UND,9.05,50.2,41.150000000000006,450.0,5.54696132596685
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),6055,PREP-TORTILLA (PTT/CHORIZO) B/1KG,UND,3.18,26.72,23.54,740.0,8.40251572327044
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8239,CN-PISTO DE VERDURAS B/1KG.,UND,8.07,23.14,15.07,190.0,2.8674101610904583
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8036,VERDURA PAELLA B/1 KG,UND,14.34,35.68,21.34,150.0,2.4881450488145047
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8012,ENSALADILLA RUSA 1 KG,UND,7.92,34.26,26.339999999999996,330.0,4.325757575757575
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8029,MENESTRA CON ESPARRAGO B/1KG,UND,4.83,8.33,3.5,70.0,1.7246376811594202
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8688,MENESTRA-BROCOZAN 1 KG,UND,7.71,11.21,3.500000000000001,50.0,1.4539559014267187
VERDURAS,MEZCLAS 1000 gr (Formato grande tienda),8761,MENESTRA ESPECIAL 1 KG,UND,5.63,27.39,21.76,390.0,4.865008880994671
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),92,AJOS T/TROCEADOS B/300 GRS,UND,4.05,22.65,18.599999999999998,459.99999999999994,5.592592592592593
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),81,GARBANZOS-B/400GR,UND,6.37,9.87,3.499999999999999,50.0,1.5494505494505493
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),763,CN-GUISANTES-BABY-EXT-B/400GR,UND,8.83,24.66,15.83,180.0,2.7927519818799547
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),857,HABITAS SUPERBABY B/300 GR (NACIONAL),UND,14.08,70.32,56.239999999999995,400.0,4.994318181818182
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),69,ALCACHOFAS-CORT-B/400GR,UND,3.49,6.99,3.5,100.0,2.0028653295128938
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),7003,PEREJIL TROCEADO B/75 G,UND,5.56,36.24,30.680000000000003,550.0,6.517985611510793
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),705,CN-AJO PICADO 3X3 B/125 GR,UND,8.49,47.96,39.47,459.99999999999994,5.648998822143699
