Familia,Num_Grupo,Grupo,ID,Producto,Formato_Venta,Coste (€),Precio de venta (€)
VERDURAS,430,MEZCLAS 400 gr (Formato pequeño tienda),309,CN-ENSALADILLA RUSA B/400GR (LG),UND,7.82,7.82
VERDURAS,430,MEZCLAS 400 gr (Formato pequeño tienda),810,VERDURA PAELLA B/400GR,UND,0.93,0.93
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8051,CEBOLLA TROC. 10x10 B/1KG,UND,4.91,4.91
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8057,CN-MEZCLA SOFRITO 1KG,UND,6.56,6.56
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8019,GUISANTES EXTRA FINOS 1 KG,UND,2.81,2.81
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8020,GARROFON PRECOCIDO 1 KG,UND,0.73,0.73
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8022,HABAS BABY B/1 KG-(NCNAL),UND,6.74,6.74
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8024,JUDIA-VERDE PLANA 1 KG,UND,6.23,6.23
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8025,JUDIA VERDE RED-TROCEADA 1 KG,UND,3.7,3.7
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8026,JUDIA MUY FINA ENTERA  B/1KG,UND,9.92,9.92
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8035,CN-VERDURA-SOPAS B/1KG,UND,7.03,7.03
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8179,CN-COLIFLOR 40/60  B/1KG,UND,7.8,7.8
VERDURAS,431,MONOPRODUCTO - Formato Horeca,8262,ESPINACA HOJA 1 KG,UND,4.52,4.52
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6772,CN-BROCOLI B/1KG.,UND,3.0,3.0
VERDURAS,431,MONOPRODUCTO - Formato Horeca,3017,ESPARRAGOS-VER-TROC-B/1 KG,KG,4.47,4.47
VERDURAS,431,MONOPRODUCTO - Formato Horeca,3592,AJOS T/TROCEADOS B/1KG,KG,8.83,8.83
VERDURAS,431,MONOPRODUCTO - Formato Horeca,2098,"CALABAZA 10X10 B/2,5 KG",UND,1.14,1.14
VERDURAS,431,MONOPRODUCTO - Formato Horeca,2099,CALABACIN TROC. B/2.5 KG,UND,2.0,2.0
VERDURAS,431,MONOPRODUCTO - Formato Horeca,3857,HABITAS SUPERBABY 1 KG,UND,6.81,6.81
VERDURAS,431,MONOPRODUCTO - Formato Horeca,4880,TOMATE TK-SEC-SOL MIT,KG,1.63,1.63
VERDURAS,431,MONOPRODUCTO - Formato Horeca,52,OR-WAKAME B/125 G,UND,4.9,4.9
VERDURAS,431,MONOPRODUCTO - Formato Horeca,537,JUDIA VERDE RED-TROCEADA (IQF),KG,8.24,8.24
VERDURAS,431,MONOPRODUCTO - Formato Horeca,592,OR-WAKAME B/1 KG,UND,4.34,4.34
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6010,"BOLETUS ENTERO 1ª CALIDAD B/2,5 KG",UND,8.93,8.93
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6009,"CEBOLLA-PERLA 14/16 B/2,5 KG.",UND,7.53,7.53
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6024,"JUDIA VERDE-PLANA-B/2,5KG",UND,4.26,4.26
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6025,JUDIA VERDE RED-TROCEADA  B/2.5 KG,UND,3.3,3.3
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6019,"GUISANTES BASIC B/2,5KG",UND,1.03,1.03
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6051,CEBOLLA TROC.-10 x 10  2.5 KG,UND,0.78,0.78
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6062,"ZANAHORIA DADOS B/2,5KG",UND,0.55,0.55
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6110,BOLETUS (EDULI)TROCEADO 1º CALIDAD B/1KG,UND,2.22,2.22
VERDURAS,431,MONOPRODUCTO - Formato Horeca,6262,"ESPINACA TROCEADA B/2,5 KG",UND,4.13,4.13
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),6050,PREP-TORTILLA (PTT/CBLL) PREFRITA B/1 KG,UND,2.6,2.6
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),6054,PREP-TORTILLA (PTT/VERD.ASADA) B/1KG,UND,8.84,8.84
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),6055,PREP-TORTILLA (PTT/CHORIZO) B/1KG,UND,9.66,9.66
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8239,CN-PISTO DE VERDURAS B/1KG.,UND,4.12,4.12
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8036,VERDURA PAELLA B/1 KG,UND,4.99,4.99
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8012,ENSALADILLA RUSA 1 KG,UND,4.39,4.39
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8029,MENESTRA CON ESPARRAGO B/1KG,UND,9.97,9.97
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8688,MENESTRA-BROCOZAN 1 KG,UND,4.91,4.91
VERDURAS,432,MEZCLAS 1000 gr (Formato grande tienda),8761,MENESTRA ESPECIAL 1 KG,UND,0.79,0.79
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),92,AJOS T/TROCEADOS B/300 GRS,UND,4.46,4.46
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),81,GARBANZOS-B/400GR,UND,7.49,7.49
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),763,CN-GUISANTES-BABY-EXT-B/400GR,UND,1.48,1.48
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),857,HABITAS SUPERBABY B/300 GR (NACIONAL),UND,4.39,4.39
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),69,ALCACHOFAS-CORT-B/400GR,UND,1.07,1.07
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),7003,PEREJIL TROCEADO B/75 G,UND,3.52,3.52
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),705,CN-AJO PICADO 3X3 B/125 GR,UND,6.15,6.15
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),525,MAIZ DULCE-B/450GR,UND,2.77,2.77
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),406,GARROFON-B/400GR,UND,6.31,6.31
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),414,JUDIA-VERDE PLANA -B/400 GR,UND,1.27,1.27
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),390,ACELGAS-B/400 GR,UND,9.55,9.55
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),379,HABAS-BABY-1ª-B/400GR (NCNAL),UND,9.82,9.82
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),184,CARDO TROCEADO-B/450 GR,UND,1.0,1.0
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),248,ZANAHORIA BABY-400 GR,UND,4.17,4.17
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),264,ALUBIA-BLANCA-B/400 GR,UND,9.81,9.81
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),1248,ZANAHORIA BABY-8/14-(IQF),KG,0.59,0.59
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),1592,EDAMAME VAINAS SOJA VERDE B/500GR,UND,1.16,1.16
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),1600,EDAMAME PELADO SOJA VERDE B/500GR,UND,8.35,8.35
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),17,ESPARRAGOS-VER-TROC-B/300GR,UND,4.18,4.18
VERDURAS,440,MONOPRODUCTO 400 gr (Formato pequeño tienda),18,ESPINACA HOJA-EXTRA-P/400GR,UND,2.81,2.81
VERDURAS,442,MONOPRODUCTO 1000 gr (Formato grande tienda),1,NUBE 16/01/2021,KG,8.02,8.02
VERDURAS,443,MEZCLAS - FORMATO HORECA,6027,"MENESTRA VERDURAS 2,5 KG",UND,8.02,8.02
VERDURAS,443,MEZCLAS - FORMATO HORECA,6033,PIMIENTO-VERDE (10X10) -B/2.5KG,UND,8.62,8.62
VERDURAS,443,MEZCLAS - FORMATO HORECA,6034,PIMIENTO-ROJO-(10X10)-B/2.5KG,KG,3.74,3.74
VERDURAS,443,MEZCLAS - FORMATO HORECA,6036,"VERDURA-PAELLA-B/2,5KG",UND,1.24,1.24
VERDURAS,443,MEZCLAS - FORMATO HORECA,6012,ENSALADILLA RUSA 2.5 KG,UND,8.97,8.97
VERDURAS,443,MEZCLAS - FORMATO HORECA,6002,"ALCACHOFAS CORTADAS B/2,5KG",UND,6.21,6.21
VERDURAS,443,MEZCLAS - FORMATO HORECA,8033,PIMIENTO TIRAS TRICOLOR B/2.5 KG,UND,3.42,3.42
VERDURAS,444,"MONOPRODUCTO GRANEL COLES, ZANAHORIA, MENESTRA, ALCACHOFAS",6069,ALCACHOFAS-CORTADA-(IQF),KG,8.31,8.31
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,6120,AZ-SALMÓN-SALAR LOMITOS S/P 2x125 G/PBO,UND,3.65,3.65
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,5064,AZ-BOQUERON-ENT-80 + (FRITURA) B/1 KG,UND,5.52,5.52
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,5131,AZ-ATUN-VENTRESCAS S/PIEL (VC)(PBO),KG,4.03,4.03
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3855,AZ-BOQUERON LIMPIO-HG-(FRITURA),KG,1.87,1.87
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3946,EMPERADOR LIMPIO (TAQUITOS) (IQF),KG,4.84,4.84
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,4182,AZS-FIL-DORADA C/P 120-180 GR/PZ,KG,9.47,9.47
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,4226,EMPERADOR (CENTRO-G-CORTADAS),KG,5.75,5.75
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,131,AZ-ATUN FILETES (VC) 1x4.5 KG,KG,1.82,1.82
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,111,EMPERADOR (CRTD/ EXTRA),KG,7.91,7.91
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,1131,AZ-ATUN SOLOMILLO 225 GR NETO (NATURAL),UND,3.02,3.02
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,1149,AZ-FIL-PALOMETA S/PIEL(IQF)100/200 (PBO),KG,5.22,5.22
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,2120,AZ-SALMON-SALVAJE-PORCION-(IQF)(PBO),KG,3.36,3.36
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,1770,AZ-CAELLA LOMITOS 125GR APROX IQF(PBO),KG,7.74,7.74
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3554,AZ-TRUCHA LIMPIA (DSP) PZ-260 GR APROX,UND,4.21,4.21
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3188,AZ-FIL-CABALLA-C/PIEL PBI,KG,7.33,7.33
